section,division,group,class,subclass,text_of,text
C,11,110,1104,11044,subclass,Manufacture of ice
C,11,110,1104,11045,subclass,Manufacture of soft drinks
C,11,110,1104,11049,subclass,Manufacture of other non-alcoholic beverages n.e.c.
C,12,,,,division,Manufacture of tobacco products
C,12,120,,,group,Manufacture of tobacco products
C,12,120,1200,,class,Manufacture of tobacco products
C,12,120,1200,12001,subclass,Stemming and redrying of tobacco
C,12,120,1200,12002,subclass,Manufacture of bidi
C,12,120,1200,12003,subclass,"Manufacture of cigarettes, cigarette tobacco"
C,12,120,1200,12004,subclass,Manufacture of cigars and cheroots
C,12,120,1200,12005,subclass,Manufacture of snuff
C,12,120,1200,12006,subclass,Manufacture of zarda
C,12,120,1200,12007,subclass,Manufacture of catechu(katha) and chewing lime
C,12,120,1200,12008,subclass,Manufacture of pan masala and related products.
C,12,120,1200,12009,subclass,Manufacture of other tobacco products including chewing tobacco n.e.c.
C,13,,,,division,Manufacture of textiles
C,13,131,,,group,"Spinning, weaving and finishing of textiles"
C,13,131,1311,,class,Preparation and spinning of textile fibres
C,13,131,1311,13111,subclass,Preparation and spinning of cotton fiber including blended* cotton
C,13,131,1311,13112,subclass,Preparation and spinning of silk fiber including blended* silk
C,13,131,1311,13113,subclass,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
C,13,131,1311,13114,subclass,Preparation and spinning of man-made fiber including blended* man-made fiber
C,13,131,1311,13119,subclass,"Preparation and spinning of jute, mesta and other natural fibers including blended natural fibers n.e.c. *Blended yarn/fabrics means, yarn/fabrics containing more than 50% of one fiber."
C,13,131,1312,,class,Weaving of textiles
C,13,131,1312,13121,subclass,"Weaving, manufacture of cotton and cotton mixture fabrics."
C,13,131,1312,13122,subclass,"Weaving, manufacture of silk and silk mixture fabrics."
C,13,131,1312,13123,subclass,"Weaving, manufacture of wool and wool mixture fabrics."
C,13,131,1312,13124,subclass,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
C,13,131,1312,13129,subclass,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
